".colorLevels",".ci",".y",".sids",".axisIndex","S100QC..Run",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
0,2,7.802241998663951,1318,0,"a",61,12774,0,1,1,0,32767,60350,65535
1,3,5.5033007261479865,1319,0,"b",61,12905,0,1,1,0,32767,86,65535
0,0,11.192106678284864,1320,0,"a",62,12774,0,1,1,0,32767,58721,65535
0,1,10.627052022397207,1321,0,"a",62,12774,0,1,1,0,32767,40206,65535
0,0,12.364258567719029,1322,0,"a",63,12774,0,1,1,0,32767,64301,65535
0,1,11.758018888136396,1323,0,"a",63,12774,0,1,1,0,32767,43391,65535
0,2,11.394725574518137,1324,0,"a",62,12774,0,1,1,0,32767,65361,65535
1,3,10.452105227861122,1325,0,"b",62,12905,0,1,1,0,32767,34474,65535
0,2,12.107518884115384,1326,0,"a",63,12774,0,1,1,0,32767,55445,65535
1,3,10.912635179040794,1327,0,"b",63,12905,0,1,1,0,32767,14232,65535
1,4,6.565551194274935,1328,0,"b",60,12905,0,1,1,0,32767,23140,65535
1,5,8.701224715915545,1329,0,"b",60,12905,0,1,1,0,32767,51132,65535
1,4,6.110495621234138,1330,0,"b",61,12905,0,1,1,0,32767,16003,65535
1,5,6.896875001297038,1331,0,"b",61,12905,0,1,1,0,32767,36617,65535
0,6,7.388423506674269,1332,0,"a",60,12774,0,1,1,0,32767,33925,65535
0,7,7.509588293609457,1333,0,"a",60,12774,0,1,1,0,32767,35514,65535
0,6,7.60355636729642,1334,0,"a",61,12774,0,1,1,0,32767,55141,65535
0,7,6.954196310386875,1335,0,"a",61,12774,0,1,1,0,32767,38119,65535
1,4,10.155200102842882,1336,0,"b",62,12905,0,1,1,0,32767,24745,65535
1,5,11.003822836144643,1337,0,"b",62,12905,0,1,1,0,32767,52552,65535
1,4,11.22643491436374,1338,0,"b",63,12905,0,1,1,0,32767,25055,65535
1,5,11.56732832150738,1339,0,"b",63,12905,0,1,1,0,32767,36813,65535
